Designator,Mid X,Mid Y,Layer,Rotation
C1,8.500000mm,-20.000000mm,Bottom,90.000000
C2,8.500000mm,-23.500000mm,Bottom,90.000000
C3,8.500000mm,-27.000000mm,Bottom,90.000000
C4,8.500000mm,-30.500000mm,Bottom,90.000000
C5,8.500000mm,-34.000000mm,Bottom,90.000000
C6,8.500000mm,-37.500000mm,Bottom,90.000000
C7,8.500000mm,-41.000000mm,Bottom,90.000000
C8,8.500000mm,-44.500000mm,Bottom,90.000000
C9,8.500000mm,-48.000000mm,Bottom,90.000000
C10,8.500000mm,-51.500000mm,Bottom,90.000000
C11,8.500000mm,-55.000000mm,Bottom,90.000000
C12,8.500000mm,-58.500000mm,Bottom,90.000000
C13,8.500000mm,-62.000000mm,Bottom,90.000000
C14,8.500000mm,-65.500000mm,Bottom,90.000000
C15,8.500000mm,-69.000000mm,Bottom,90.000000
C16,8.500000mm,-72.500000mm,Bottom,90.000000
C17,8.500000mm,-76.000000mm,Bottom,90.000000
C18,8.500000mm,-79.500000mm,Bottom,90.000000
C19,8.500000mm,-83.000000mm,Bottom,90.000000
C20,8.500000mm,-86.500000mm,Bottom,90.000000
C21,8.500000mm,-90.000000mm,Bottom,90.000000
C22,8.500000mm,-93.500000mm,Bottom,90.000000
C23,8.500000mm,-97.000000mm,Bottom,90.000000
C24,8.500000mm,-100.500000mm,Bottom,90.000000
C25,8.500000mm,-104.000000mm,Bottom,90.000000
C26,8.500000mm,-107.500000mm,Bottom,90.000000
C27,8.500000mm,-139.000000mm,Bottom,90.000000
C28,8.500000mm,-142.500000mm,Bottom,90.000000
C29,8.500000mm,-146.000000mm,Bottom,90.000000
C30,8.500000mm,-149.500000mm,Bottom,90.000000
C31,8.500000mm,-153.000000mm,Bottom,90.000000
C32,8.500000mm,-156.500000mm,Bottom,90.000000
C33,8.500000mm,-160.000000mm,Bottom,90.000000
C34,8.500000mm,-163.500000mm,Bottom,90.000000
C35,282.200000mm,-79.500000mm,Bottom,90.000000
C36,282.200000mm,-83.000000mm,Bottom,90.000000
C37,282.200000mm,-86.500000mm,Bottom,90.000000
C38,282.200000mm,-90.000000mm,Bottom,90.000000
C39,282.200000mm,-93.500000mm,Bottom,90.000000
C40,282.200000mm,-97.000000mm,Bottom,90.000000
C41,282.200000mm,-100.500000mm,Bottom,90.000000
C42,282.200000mm,-104.000000mm,Bottom,90.000000
C43,282.200000mm,-107.500000mm,Bottom,90.000000
C44,282.200000mm,-111.000000mm,Bottom,90.000000
C45,282.200000mm,-114.500000mm,Bottom,90.000000
C46,282.200000mm,-118.000000mm,Bottom,90.000000
C47,282.200000mm,-121.500000mm,Bottom,90.000000
C48,282.200000mm,-125.000000mm,Bottom,90.000000
C49,282.200000mm,-128.500000mm,Bottom,90.000000
C50,282.200000mm,-132.000000mm,Bottom,90.000000
C51,282.200000mm,-135.500000mm,Bottom,90.000000
C52,282.200000mm,-139.000000mm,Bottom,90.000000
