Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",8.500000,-20.000000,90.000000,bottom
"C2","100nF","C_0402_1005Metric",8.500000,-23.500000,90.000000,bottom
"C3","100nF","C_0402_1005Metric",8.500000,-27.000000,90.000000,bottom
"C4","100nF","C_0402_1005Metric",8.500000,-30.500000,90.000000,bottom
"C5","100nF","C_0402_1005Metric",8.500000,-34.000000,90.000000,bottom
"C6","100nF","C_0402_1005Metric",8.500000,-37.500000,90.000000,bottom
"C7","100nF","C_0402_1005Metric",8.500000,-41.000000,90.000000,bottom
"C8","100nF","C_0402_1005Metric",8.500000,-44.500000,90.000000,bottom
"C9","100nF","C_0402_1005Metric",8.500000,-48.000000,90.000000,bottom
"C10","100nF","C_0402_1005Metric",8.500000,-51.500000,90.000000,bottom
"C11","100nF","C_0402_1005Metric",8.500000,-55.000000,90.000000,bottom
"C12","100nF","C_0402_1005Metric",8.500000,-58.500000,90.000000,bottom
"C13","100nF","C_0402_1005Metric",8.500000,-62.000000,90.000000,bottom
"C14","100nF","C_0402_1005Metric",8.500000,-65.500000,90.000000,bottom
"C15","100nF","C_0402_1005Metric",8.500000,-69.000000,90.000000,bottom
"C16","100nF","C_0402_1005Metric",8.500000,-72.500000,90.000000,bottom
"C17","100nF","C_0402_1005Metric",8.500000,-76.000000,90.000000,bottom
"C18","100nF","C_0402_1005Metric",8.500000,-79.500000,90.000000,bottom
"C19","100nF","C_0402_1005Metric",8.500000,-83.000000,90.000000,bottom
"C20","100nF","C_0402_1005Metric",8.500000,-86.500000,90.000000,bottom
"C21","100nF","C_0402_1005Metric",8.500000,-90.000000,90.000000,bottom
"C22","100nF","C_0402_1005Metric",8.500000,-93.500000,90.000000,bottom
"C23","100nF","C_0402_1005Metric",8.500000,-97.000000,90.000000,bottom
"C24","100nF","C_0402_1005Metric",8.500000,-100.500000,90.000000,bottom
"C25","100nF","C_0402_1005Metric",8.500000,-104.000000,90.000000,bottom
"C26","100nF","C_0402_1005Metric",8.500000,-107.500000,90.000000,bottom
"C27","100nF","C_0402_1005Metric",8.500000,-139.000000,90.000000,bottom
"C28","100nF","C_0402_1005Metric",8.500000,-142.500000,90.000000,bottom
"C29","100nF","C_0402_1005Metric",8.500000,-146.000000,90.000000,bottom
"C30","100nF","C_0402_1005Metric",8.500000,-149.500000,90.000000,bottom
"C31","100nF","C_0402_1005Metric",8.500000,-153.000000,90.000000,bottom
"C32","100nF","C_0402_1005Metric",8.500000,-156.500000,90.000000,bottom
"C33","100nF","C_0402_1005Metric",8.500000,-160.000000,90.000000,bottom
"C34","100nF","C_0402_1005Metric",8.500000,-163.500000,90.000000,bottom
"C35","100nF","C_0402_1005Metric",282.200000,-79.500000,90.000000,bottom
"C36","100nF","C_0402_1005Metric",282.200000,-83.000000,90.000000,bottom
"C37","100nF","C_0402_1005Metric",282.200000,-86.500000,90.000000,bottom
